v0, k0, x, y, yaw, km, kf, sf
0.1,-2.70709,-2.50612,3.46562,-0.780125,0.497394,-2.92057,6.59118
0.1,-2.70709,-2.04622,3.47389,-0.795031,0.401632,-2.79038,6.24468
0.1,-2.70709,-1.52318,3.44799,-0.743707,0.308075,-2.59334,5.9728
0.1,-2.70709,-1.01579,3.46357,-0.834116,0.234464,-2.40773,5.83532
0.1,-2.70709,2.49939,3.45224,-0.860214,0.133825,-1.57707,6.77776
0.1,-2.70709,3.47435,3.49207,-0.803535,0.199266,-1.41045,7.3817
0.1,-2.70709,3.92174,3.48753,-0.76756,0.253188,-1.45609,7.82434
0.1,-2.70709,4.44537,3.49897,-0.797062,0.293057,-1.39318,8.20425
0.1,-2.70709,4.94045,3.51582,-0.829895,0.363681,-1.46539,8.83369
0.1,-2.70709,-2.56877,3.93721,-0.762016,0.577696,-2.84738,7.22463
0.1,-2.70709,-1.98358,4.06049,-0.747646,0.479386,-2.70796,6.82508
0.1,-2.70709,-1.52346,3.93877,-0.840846,0.39704,-2.65459,6.5339
0.1,-2.70709,-1.01793,4.01916,-0.727801,0.329812,-2.41766,6.36509
0.1,-2.70709,-0.534926,4.02556,-0.706492,0.277153,-2.31075,6.30984
0.1,-2.70709,0.478395,3.95427,-0.847175,0.210462,-2.02922,6.38398
0.1,-2.70709,1.94817,4.02183,-0.720713,0.204957,-1.71104,6.89674
0.1,-2.70709,2.503,3.97702,-0.8444,0.219717,-1.60962,7.12391
0.1,-2.70709,2.93955,4.02728,-0.73355,0.246359,-1.55543,7.41916
0.1,-2.70709,3.45055,3.99822,-0.717007,0.285504,-1.48233,7.78925
0.1,-2.70709,3.98248,3.99697,-0.818851,0.323141,-1.50527,8.18815
0.1,-2.70709,4.4077,4.0053,-0.772318,0.369529,-1.4955,8.63634
0.1,-2.70709,5.00711,3.93981,-0.798853,0.447816,-1.51158,9.43065
0.1,-2.70709,-2.0289,4.52407,-0.739091,0.569004,-2.60557,7.49448
0.1,-2.70709,-1.52301,4.44392,-0.78563,0.4844,-2.5632,7.12192
0.1,-2.70709,-1.02896,4.49339,-0.763881,0.422646,-2.44603,6.94383
0.1,-2.70709,-0.568173,4.45382,-0.738329,0.371697,-2.31395,6.84751
0.1,-2.70709,0.496935,4.40646,-0.773231,0.296762,-2.07959,6.81783
0.1,-2.70709,0.998002,4.47202,-0.877418,0.293386,-1.95755,6.96558
0.1,-2.70709,1.48657,4.4269,-0.830482,0.279565,-1.82589,7.06036
0.1,-2.70709,1.96155,4.50097,-0.787763,0.296683,-1.80104,7.33913
0.1,-2.70709,2.4738,4.44535,-0.848568,0.307012,-1.74312,7.5708
0.1,-2.70709,2.93799,4.49486,-0.827782,0.335043,-1.69307,7.89222
0.1,-2.70709,3.50075,4.52946,-0.724678,0.381072,-1.63902,8.39243
0.1,-2.70709,3.9479,4.50076,-0.847587,0.417134,-1.65473,8.78892
0.1,-2.70709,4.42712,4.47315,-0.816642,0.474724,-1.58682,9.40286
0.1,-2.70709,-1.54371,4.92682,-0.816754,0.605259,-2.59088,8.07682
0.1,-2.70709,-1.01398,5.03079,-0.691812,0.528728,-2.32397,7.72703
0.1,-2.70709,-0.54144,4.96846,-0.827146,0.469852,-2.30258,7.48196
0.1,-2.70709,0.46732,4.9632,-0.789727,0.406811,-2.14008,7.45332
0.1,-2.70709,0.934406,4.97718,-0.765204,0.391149,-2.01163,7.53712
0.1,-2.70709,1.52739,4.9955,-0.829873,0.399551,-1.94429,7.81979
0.1,-2.70709,1.96626,4.98949,-0.806232,0.389311,-1.84684,7.87259
0.1,-2.70709,2.57294,5.04706,-0.777767,0.411951,-1.74601,8.21483
