v0, k0, x, y, yaw, km, kf, sf
0.1,-2.70709,2.44461,-4.51571,0.57,1.36021,-1.75289,14.0791
0.1,-2.70709,0.99485,-4.0616,0.602946,1.11578,-1.06193,15.3371
0.1,-2.70709,2.42804,-4.00208,0.615474,1.4252,-1.97645,14.4618
0.1,-2.70709,0.432208,-3.47944,0.585202,1.04691,-0.963384,16.218
0.1,-2.70709,1.04504,-3.53728,0.671896,1.19567,-1.26507,15.7439
0.1,-2.70709,0.48591,-3.08064,0.681388,1.14505,-1.15502,16.359
0.1,-2.70709,1.02984,-3.02587,0.716002,1.29924,-1.5466,16.0667
0.1,-2.70709,2.55245,-3.05896,0.7,1.66296,-2.77725,14.9198
0.1,-2.70709,1.0153,-2.57088,0.659702,1.37855,-1.86,16.3975
0.1,-2.70709,1.44602,-1.99696,0.7,1.63924,-2.86542,16.3481
0.1,-2.70709,1.00759,0.965045,0.684046,3.85181,-18.7925,16.8901
0.1,-2.70709,0.522725,2.04144,0.65,6.37114,-58.33,16.8594
0.1,-2.70709,0.990914,1.95548,0.6,5.30627,-39.0075,16.7367
0.1,-2.70709,-4.53141,-5.00569,1.1,3.17118,-13.108,23.346
0.1,-2.70709,-0.549958,-4.44853,1.13591,0.892296,-0.114916,14.7659
0.1,-2.70709,0.549951,-4.55808,1.1734,1.1452,-0.473497,14.1825
0.1,-2.70709,-0.545937,-3.96399,1.10152,0.92503,-0.279843,15.3919
0.1,-2.70709,1.05292,-4.04657,1.168,1.32743,-0.944332,14.3855
0.1,-2.70709,1.57429,-4.0051,1.21476,1.46757,-1.20756,14.1231
0.1,-2.70709,0.472102,-3.45726,1.16409,1.22807,-0.953962,15.5072
0.1,-2.20709,-0.543577,-5.07031,-3.09649,-0.0407701,-8.96268,6.56587
0.1,-2.20709,-0.50606,-4.55412,-3.12632,-0.115565,-7.99115,5.98983
0.1,-2.20709,0.438937,-4.46394,-2.55833,0.201456,-5.14726,5.34754
0.1,-2.20709,0.495702,-3.97747,-2.578,0.0541999,-4.89001,4.85699
0.1,-2.20709,0.997969,-3.59464,-2.572,-15.3351,-152.313,4.68908
0.1,-2.20709,3.4735,-5.03325,-1.9846,0.982571,-4.93748,20.3364
0.1,-2.20709,4.48687,-4.97374,-1.98567,1.05202,-6.99477,19.5544
0.1,-2.20709,0.51861,-4.46432,-1.974,0.192132,-0.738106,5.15162
0.1,-2.20709,3.06231,-4.45437,-2.05844,0.998947,-5.23581,21.082
0.1,-2.20709,3.44474,-4.53834,-2.00563,1.02295,-5.46218,20.6237
0.1,-2.20709,4.00326,-4.46238,-1.97333,1.05837,-6.53235,20.2235
0.1,-2.20709,1.07909,-4.02747,-2.054,0.416704,-3.35663,4.65531
0.1,-2.20709,1.5771,-4.00535,-2.098,0.226071,-20.0393,4.72855
0.1,-2.20709,3.55318,-3.95969,-1.99368,1.06506,-6.86143,20.9826
0.1,-2.20709,4.06454,-3.96571,-2.02916,1.08935,-8.16717,20.6749
0.1,-2.20709,1.5435,-3.41964,-2.1,-0.480601,-28.5896,4.10912
0.1,-2.20709,1.05991,-5.01225,-1.48928,0.594381,-0.886852,5.60406
0.1,-2.20709,2.95762,-4.93969,-1.48087,0.901142,-2.60063,19.2395
0.1,-2.20709,3.4649,-4.93393,-1.50513,0.947187,-3.1636,19.0473
0.1,-2.20709,3.97409,-4.96033,-1.47401,1.00767,-3.85261,18.6794
0.1,-2.20709,4.47924,-5.09498,-1.51269,1.0625,-4.65554,18.292
0.1,-2.20709,3.06176,-4.50712,-1.48408,0.948173,-2.94441,19.3409
0.1,-2.20709,3.4485,-4.48415,-1.49074,0.976959,-3.4357,19.412
0.1,-2.20709,3.92512,-4.46397,-1.47126,1.03341,-4.11912,19.0681
0.1,-2.20709,2.4638,-3.948,-1.49261,0.87636,-2.39339,20.3278
0.1,-2.20709,3.01651,-3.92155,-1.48885,0.959653,-3.13496,20.0489
0.1,-2.20709,3.51061,-3.92887,-1.47531,1.04084,-3.97615,19.6671
0.1,-2.20709,3.99607,-4.08696,-1.48038,1.07695,-4.57387,19.3073
0.1,-2.20709,2.93076,-3.50378,-1.48245,0.993558,-3.41365,20.3434
0.1,-2.20709,3.52,-3.52588,-1.5,1.09086,-4.69998,19.9852
0.1,-2.20709,2.96855,-2.98287,-1.48722,1.06088,-4.26966,20.7112
0.1,-2.20709,3.43416,-3.00467,-1.45661,1.1268,-5.13968,20.2629
0.1,-2.20709,2.43331,-4.97756,-0.919768,0.815293,-1.53389,17.6035
0.1,-2.20709,2.96029,-4.99984,-0.941566,0.879702,-1.89376,17.492
0.1,-2.20709,3.43839,-4.96763,-0.930826,0.953318,-2.36629,17.2937
0.1,-2.20709,4.02123,-5.03113,-0.909032,1.02652,-2.91218,16.8683
0.1,-2.20709,4.43459,-4.95341,-0.971749,1.05714,-3.39325,16.7367
0.1,-2.20709,2.41244,-4.47012,-0.997776,0.819032,-1.57697,18.3047
