v0, k0, x, y, yaw, km, kf, sf
0,-2.16709,0.486392,2.00254,0.270228,0.260784,-0.443971,2.8409
0,-2.16709,0.973832,1.98088,0.00797938,0.29108,-0.464778,3.04937
0,-2.16709,1.5224,1.9952,-0.133648,0.375557,-0.483625,3.45575
0,-2.16709,-1.44839,-3.48989,-2.50637,0.223327,-0.216925,4.95199
0,-2.16709,-0.939843,-3.50204,-2.39603,0.186365,-0.199569,4.7012
0,-2.16709,-0.533859,-3.46622,-2.26215,0.163863,-0.184418,4.54509
0,-2.16709,0.0767424,-3.47986,-2.1057,0.181547,-0.200373,4.50187
0,-2.16709,0.518894,-3.49531,-1.98199,0.220941,-0.225359,4.58235
0,-2.16709,1.07094,-3.43794,-1.82817,0.309857,-0.28191,4.87416
0,-2.16709,-2.4822,-2.93488,-2.77293,0.191711,-0.185252,5.02007
0,-2.16709,-1.9771,-2.9889,-2.68745,0.133989,-0.160539,4.69107
0,-2.16709,-1.4888,-2.99329,-2.57451,0.085581,-0.136617,4.42771
0,-2.16709,-0.98881,-2.99273,-2.43325,0.0527376,-0.121071,4.2265
0,-2.16709,0.0153973,-2.99649,-2.12007,0.0489973,-0.12728,4.02755
0,-2.16709,0.538057,-2.94406,-1.92894,0.0680864,-0.138094,3.99419
0,-2.16709,1.51516,-2.98944,-1.65844,0.216173,-0.229603,4.35133
0,-2.16709,-2.93739,-2.4495,-2.86801,0.162953,-0.154879,5.01731
0,-2.16709,-2.46411,-2.48726,-3.01436,0.106775,-0.166733,4.67011
0,-2.16709,-1.97213,-2.48711,-2.75382,0.022721,-0.0930697,4.32379
0,-2.16709,-1.47549,-2.51243,-2.65443,-0.0208103,-0.0811622,4.09146
0,-2.16709,-0.989428,-2.49449,-2.49702,-0.0656804,-0.0603579,3.86908
0,-2.16709,0.515975,-2.45917,-1.90512,-0.0558429,-0.0752925,3.59711
0,-2.16709,1.02229,-2.47764,-1.7256,0.0075345,-0.111097,3.68298
0,-2.16709,1.5129,-2.47316,-1.56718,0.0889165,-0.157237,3.84873
0,-2.16709,1.98913,-2.41678,-1.42364,0.177568,-0.208001,4.06891
0,-2.16709,-2.95096,-2.01407,-3.0178,0.0862248,-0.117061,4.74091
0,-2.16709,-2.48147,-2.03084,-3.05124,0.0234918,-0.107319,4.42707
0,-2.16709,1.08732,-1.95356,-1.61514,-0.102883,-0.0625007,3.31308
0,-2.16709,1.50978,-1.98496,-1.46627,-0.0138852,-0.105554,3.48093
0,-2.16709,1.99501,-1.94729,-1.28597,0.0914048,-0.15719,3.71932
0,-2.16709,2.50021,-1.90043,-1.20211,0.221483,-0.23773,4.08087
0,-2.16709,1.54574,-1.46901,-1.31087,-0.102548,-0.0690264,3.16328
0,-2.16709,2.01481,-1.42205,-1.13984,0.0174213,-0.122947,3.40938
0,-2.16709,2.51119,-1.4603,-1.0759,0.169874,-0.214003,3.81899
0,-2.16709,1.96452,-0.994163,-1.01268,-0.0411953,-0.102332,3.17329
0,-2.16709,2.46826,-0.986689,-0.917159,0.110719,-0.178955,3.54666
0,-2.16709,2.99571,-0.968547,-0.86642,0.312391,-0.297923,4.2085
0,-2.16709,1.52875,-0.481509,-0.842614,-0.244558,-0.016436,2.64169
0,-2.16709,2.97617,-0.405355,-0.684993,0.28087,-0.280887,3.96437
0,-2.16709,1.95349,-0.0284497,-0.550671,-0.0666662,-0.0959897,2.88738
0,-2.16709,2.94965,0.0664988,-0.521561,0.302385,-0.298434,3.93751
0,-2.16709,1.99107,0.493788,-0.305183,0.0102131,-0.142033,2.93521
0,-2.16709,2.51144,0.496971,-0.371232,0.176446,-0.230964,3.40038
0,-2.16709,1.48605,1.00111,0.0458209,-0.0373758,-0.122878,2.65722
0,-2.16709,1.9634,1.00057,-0.065723,0.0958549,-0.18507,3.02649
0,-2.16709,2.50357,0.992232,-0.18174,0.265024,-0.283509,3.56759
0,-2.16709,0.500495,1.44048,0.682548,0.0429386,-0.180837,2.27657
0,-2.16709,0.980871,1.48792,0.442747,0.0148797,-0.152167,2.57299
0,-2.16709,1.49654,1.50137,0.235332,0.117495,-0.20485,2.9048
0,-2.16709,1.97059,1.49267,0.106173,0.231852,-0.266658,3.29511
0,-2.16709,-0.525108,2.02388,1.27883,0.373073,-0.364793,2.76762
0,-2.16709,-0.0489439,2.03288,1.02009,0.260417,-0.301687,2.70017
0,-2.16709,0.493419,1.99859,0.778485,0.189616,-0.254282,2.77522
0,-2.16709,0.965999,2.00041,0.582462,0.221204,-0.26725,2.97866
0,-2.16709,1.42338,2.01908,0.39606,0.295043,-0.310556,3.2887
0,-2.16709,0.408034,2.46157,0.850064,0.474413,-0.425089,3.59901
0,-2.16709,-1.41949,-3.49931,-2.00341,0.208965,-0.120726,5.00523
0,-2.16709,-0.921978,-3.48532,-1.87294,0.157216,-0.0876911,4.6987
0,-2.16709,-0.537475,-3.48537,-1.76174,0.14005,-0.0748394,4.5665
0,-2.16709,0.0066552,-3.51198,-1.61629,0.158014,-0.0883754,4.54058
0,-2.16709,0.525352,-3.47652,-1.45977,0.19346,-0.11151,4.59148
0,-2.16709,-2.45649,-3.02938,-2.30854,0.218428,-0.127211,5.24211
0,-2.16709,-1.97071,-3.01008,-2.19336,0.106534,-0.0530005,4.6895
0,-2.16709,-1.48455,-2.99079,-2.0646,0.0426653,-0.0104293,4.38209
0,-2.16709,-0.99266,-2.99656,-1.92511,0.00866756,0.0102179,4.18547
0,-2.16709,1.02267,-2.98047,-1.28146,0.090727,-0.045431,4.09374
0,-2.16709,1.52109,-2.97751,-1.14245,0.187376,-0.110284,4.35863
0,-2.16709,-2.44019,-2.47672,-2.38195,0.0504273,-0.0148369,4.58914
0,-2.16709,-1.99679,-2.5052,-2.28329,-0.00976548,0.0215983,4.31366
0,-2.16709,-1.49282,-2.50158,-2.14739,-0.0740774,0.0607366,4.03252
0,-2.16709,-0.979034,-2.50851,-1.97639,-0.123031,0.089313,3.80211
0,-2.16709,1.02369,-2.44546,-1.20769,-0.0533119,0.0465172,3.61159
0,-2.16709,1.58802,-2.47342,-1.00476,0.0578495,-0.0168252,3.85511
0,-2.16709,2.00654,-2.47192,-0.928804,0.162167,-0.0928936,4.13403
0,-2.16709,-2.97986,-2.00545,-2.58963,0.0651238,-0.0254673,4.7573
0,-2.16709,-2.43424,-1.98288,-2.49475,-0.0429784,0.0429586,4.31438
0,-2.16709,-1.99041,-2.01574,-2.38862,-0.113572,0.0844246,4.03122
0,-2.16709,1.49812,-1.96133,-0.953121,-0.0758741,0.0597595,3.41881
0,-2.16709,2.00347,-1.98411,-0.819717,0.0564851,-0.024246,3.71917
0,-2.16709,2.49573,-1.97328,-0.703793,0.210717,-0.124788,4.17576
0,-2.16709,-2.94979,-1.4869,-2.67912,-0.0232558,0.0367973,4.5024
0,-2.16709,-2.46331,-1.57838,-2.61326,-0.105669,0.078762,4.16407
0,-2.16709,1.50028,-1.48807,-0.82157,-0.18054,0.118312,3.09277
0,-2.16709,1.99902,-1.41592,-0.629232,-0.044938,0.0458058,3.34983
0,-2.16709,2.50591,-1.47331,-0.574772,0.12353,-0.0681517,3.7856
0,-2.16709,1.95095,-1.00042,-0.505936,-0.114504,0.0815671,3.10127
0,-2.16709,2.46504,-0.972518,-0.396027,0.0577192,-0.0200563,3.50128
0,-2.16709,2.99152,-0.929372,-0.355338,0.300758,-0.187816,4.28583
0,-2.16709,1.4917,-0.493195,-0.367621,-0.347652,0.206314,2.55372
0,-2.16709,2.98641,-0.484499,-0.195719,0.271795,-0.166306,4.07581
0,-2.16709,1.94562,-0.0339969,-0.038522,-0.138847,0.103815,2.83557
0,-2.16709,2.98026,0.0341177,-0.0315084,0.306455,-0.190941,4.09378
0,-2.16709,1.43813,0.500322,0.294537,-0.27877,0.183687,2.41581
0,-2.16709,1.99366,0.49197,0.205307,-0.0574952,0.0512693,2.88547
0,-2.16709,2.49266,0.501234,0.15884,0.128989,-0.070034,3.37708
0,-2.16709,1.48787,1.00116,0.554883,-0.113769,0.0906209,2.60439
0,-2.16709,1.9563,0.990361,0.440406,0.0363193,-0.00294159,2.98973
0,-2.16709,2.49095,0.997517,0.342566,0.231188,-0.138351,3.57894
0,-2.16709,0.988774,1.49929,0.952841,-0.0516807,0.0609327,2.54313
0,-2.16709,1.49844,1.50873,0.749336,0.0643469,-0.020225,2.88653
0,-2.16709,1.95077,1.52253,0.622845,0.194897,-0.111086,3.29527
0,-2.16709,0.0606359,1.94618,1.5012,0.121794,-0.0434721,2.60112
0,-2.16709,0.453784,1.96427,1.31701,0.112128,-0.0383204,2.70304
0,-2.16709,1.00906,1.94393,1.0631,0.154057,-0.0744721,2.93884
0,-2.16709,1.405,2.02037,0.916973,0.25466,-0.149795,3.28765
0,-2.16709,-0.937237,-3.43451,-1.38812,0.16282,-0.00311078,4.84507
0,-2.16709,-0.4923,-3.46778,-1.23285,0.159865,0.00532525,4.7613
0,-2.16709,0.0491742,-3.46817,-1.09295,0.186798,-0.016104,4.77236
0,-2.16709,-1.97999,-3.00608,-1.68688,0.120719,0.0278618,4.86555
0,-2.16709,-1.45881,-2.98256,-1.55981,0.0346229,0.0918445,4.45839
0,-2.16709,-0.976874,-2.98732,-1.42179,-0.010087,0.124283,4.22728
